"Year","Month","Day","Hour","AirQuality","DewPoint","Temperature","Pressure","Wind","Snow","Rain"
0,0,0,0,0.07243460764587525,0.27941176470588236,0.13114754098360656,0.5454545454545454,0.0003656045751633987,0,0
0,0,0,0.043478260869565216,0.07243460764587525,0.27941176470588236,0.11475409836065574,0.5272727272727272,0.0010049019607843138,0,0
0,0,0,0.08695652173913043,0.07243460764587525,0.27941176470588236,0.13114754098360656,0.509090909090909,0.0013705065359477125,0,0
0,0,0,0.13043478260869565,0.07243460764587525,0.27941176470588236,0.08196721311475409,0.509090909090909,0.0020098039215686275,0,0
0,0,0,0.17391304347826086,0.07243460764587525,0.29411764705882354,0.11475409836065574,0.4909090909090909,0.0026491013071895425,0,0
0,0,0,0.21739130434782608,0.07243460764587525,0.3088235294117647,0.14754098360655737,0.4727272727272727,0.003288398692810458,0,0
0,0,0,0.2608695652173913,0.07243460764587525,0.3088235294117647,0.16393442622950818,0.4727272727272727,0.003927696078431373,0,0
0,0,0,0.30434782608695654,0.07243460764587525,0.3088235294117647,0.16393442622950818,0.4727272727272727,0.04330065359477124,0,0
0,0,0,0.34782608695652173,0.07243460764587525,0.3088235294117647,0.16393442622950818,0.4727272727272727,0.004932598039215686,0,0
0,0,0,0.391304347826087,0.07243460764587525,0.29411764705882354,0.18032786885245902,0.4727272727272727,0.005571895424836601,0,0
0,0,0,0.43478260869565216,0.07243460764587525,0.3088235294117647,0.19672131147540983,0.4727272727272727,0.00639297385620915,0,0
0,0,0,0.4782608695652174,0.07243460764587525,0.3235294117647059,0.22950819672131148,0.4727272727272727,0.007032271241830065,0,0
0,0,0,0.5217391304347826,0.07243460764587525,0.3088235294117647,0.22950819672131148,0.43636363636363634,0.007671568627450981,0,0
0,0,0,0.5652173913043478,0.07243460764587525,0.3235294117647059,0.26229508196721313,0.43636363636363634,0.008310866013071894,0,0
0,0,0,0.6086956521739131,0.07243460764587525,0.3235294117647059,0.2786885245901639,0.41818181818181815,0.00895016339869281,0,0
0,0,0,0.6521739130434783,0.07243460764587525,0.3235294117647059,0.29508196721311475,0.41818181818181815,0.00018178104575163398,0,0
0,0,0,0.6956521739130435,0.07243460764587525,0.3088235294117647,0.2786885245901639,0.43636363636363634,0.0003656045751633987,0,0
